Date,AVG_RTN,CSAD_AVG,CSSD_AVG,SHSZ300,up_avg,down_avg,up1_avg,down1_avg,up5_avg,down5_avg,up10_avg,down10_avg,shsz300_up,shsz300_down
2015/11/24,0.018694527,0.020210594,0.028816464,-0.000259502,1,0,0,0,0,0,0,0,0,1
2015/11/25,0.021415052,0.016956834,0.022666002,0.007466302,1,0,0,0,0,0,0,0,1,0
2015/11/26,-0.01422098,0.019633146,0.025138862,-0.005913358,0,1,0,0,0,0,0,0,0,1
2015/11/27,-0.061225541,0.028838212,0.038857647,-0.056493491,0,1,0,0,0,1,0,1,0,1
2015/11/30,0.031068885,0.035789833,0.044460166,0.002535327,1,0,0,0,0,0,1,0,1,0
2015/12/1,-0.01385509,0.034037424,0.040923772,0.006689334,0,1,0,0,0,0,0,0,1,0
2015/12/2,-0.016587276,0.024212369,0.03092277,0.035593164,0,1,0,0,0,0,0,0,1,0
2015/12/3,0.035149582,0.018305377,0.024812924,0.009666324,1,0,0,0,0,0,1,0,1,0
2015/12/4,-0.003645609,0.021428893,0.029675725,-0.021156881,0,1,0,0,0,0,0,0,0,1
2015/12/7,0.024562877,0.025198226,0.030350798,0.001313601,1,0,0,0,0,0,0,0,1,0
2015/12/8,-0.025586599,0.024489696,0.033518881,-0.018808778,0,1,0,0,0,0,0,1,0,1
2015/12/9,0.009537108,0.032653662,0.041167012,0.001534152,1,0,0,0,0,0,0,0,1,0
2015/12/10,-0.011558298,0.022349958,0.028934387,-0.004894463,0,1,0,0,0,0,0,0,0,1
2015/12/11,-0.014802232,0.019987158,0.025027841,-0.008157215,0,1,0,0,0,0,0,0,0,1
2015/12/14,0.017925505,0.019477345,0.029721978,0.028465965,1,0,0,0,0,0,0,0,1,0
2015/12/15,0.014005226,0.01468411,0.017825576,-0.004495686,1,0,0,0,0,0,0,0,0,1
2015/12/16,-0.001721569,0.016153497,0.024919562,-0.004621431,0,1,0,0,0,0,0,0,0,1
2015/12/17,0.034323877,0.021564867,0.028706816,0.017360294,1,0,0,0,0,0,1,0,1,0
2015/12/18,-0.008585066,0.016471066,0.021108285,0.003412432,0,1,0,0,0,0,0,0,1,0
2015/12/21,-0.001088051,0.019748173,0.028981697,0.025196413,0,1,0,0,0,0,0,0,1,0
2015/12/22,0.012623978,0.01523897,0.022571342,0.003583639,1,0,0,0,0,0,0,0,1,0
2015/12/23,-0.017515537,0.017119985,0.023084215,-0.002102433,0,1,0,0,0,0,0,0,0,1
2015/12/24,-0.003279366,0.017810873,0.022899949,-0.009826487,0,1,0,0,0,0,0,0,0,1
2015/12/25,0.011780162,0.013890701,0.018614397,0.004536199,1,0,0,0,0,0,0,0,1,0
2015/12/28,-0.01821822,0.019892137,0.02751552,-0.033122424,0,1,0,0,0,0,0,0,0,1
2015/12/29,0.021888292,0.025468879,0.033080912,0.010100392,1,0,0,0,0,0,0,0,1,0
2015/12/30,0.004111964,0.018037182,0.023144498,-0.000710817,1,0,0,0,0,0,0,0,0,1
2015/12/31,-0.018499403,0.018300586,0.023276519,-0.008423427,0,1,0,0,0,0,0,0,0,1
2016/1/4,-0.098994403,0.008909304,0.014355952,-0.079520855,0,1,0,1,0,1,0,1,0,1
2016/1/5,-0.032435947,0.031244116,0.04141595,0.0042057,0,1,0,0,0,0,0,1,1,0
2016/1/6,0.02735717,0.014843778,0.023003453,0.013275017,1,0,0,0,0,0,1,0,1,0
2016/1/7,-0.095053591,0.013800908,0.022046932,-0.078989238,0,1,0,1,0,1,0,1,0,1
2016/1/8,0.005069172,0.026554141,0.034108043,0.020247564,1,0,0,0,0,0,0,0,1,0
2016/1/11,-0.07648888,0.030063347,0.034389428,-0.048367575,0,1,0,0,0,1,0,1,0,1
2016/1/12,0.015376542,0.027634375,0.034683547,0.008111713,1,0,0,0,0,0,0,0,1,0
2016/1/13,-0.027231806,0.024983904,0.033187814,-0.019983156,0,1,0,0,0,0,0,1,0,1
2016/1/14,0.050290284,0.024861485,0.031795012,0.018490904,1,0,0,0,1,0,1,0,1,0
2016/1/15,-0.036033659,0.027989131,0.034349822,-0.029875685,0,1,0,0,0,0,0,1,0,1
2016/1/18,0.013738071,0.017880573,0.024308565,0.00335325,1,0,0,0,0,0,0,0,1,0
2016/1/19,0.039810537,0.009769559,0.013959029,0.029024747,1,0,0,0,1,0,1,0,1,0
2016/1/20,-0.007324994,0.019996118,0.027268051,-0.016105947,0,1,0,0,0,0,0,0,0,1
2016/1/21,-0.061689454,0.025380944,0.031402024,-0.029198399,0,1,0,0,0,1,0,1,0,1
2016/1/22,0.02047167,0.016550319,0.024940368,0.010186804,1,0,0,0,0,0,0,0,1,0
2016/1/25,0.004189541,0.019021413,0.027947509,0.005199909,1,0,0,0,0,0,0,0,1,0
2016/1/26,-0.090069628,0.017221211,0.021880741,-0.062595991,0,1,0,1,0,1,0,1,0,1
2016/1/27,-0.02364766,0.026348874,0.038025771,-0.002669664,0,1,0,0,0,0,0,0,0,1
